Stop Name,Line,Borough,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entry Allowed,Exit Allowed,Entrance Latitude,Entrance Longitude
57 St,6th Av - Culver,M,224,57 St,224,B10,F,YES,YES,40.7638466,-73.977723
57 St,6th Av - Culver,M,224,57 St,224,B10,F,YES,YES,40.764223,-73.977439
57 St,6th Av - Culver,M,224,57 St,224,B10,F,YES,YES,40.763903,-73.977348
57 St,6th Av - Culver,M,224,57 St,224,B10,F,YES,YES,40.7640108,-73.9772741
57 St,6th Av - Culver,M,224,57 St,224,B10,F,YES,YES,40.7646549,-73.9771234
57 St,6th Av - Culver,M,224,57 St,224,B10,F,YES,YES,40.7645565,-73.9768746
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7580251,-73.9821103
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7578149,-73.9817936
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7586676,-73.9816419
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7578802,-73.9816131
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7579787,-73.9815345
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7590434,-73.98132
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.75848,-73.98114
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.759442,-73.981112
47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,YES,YES,40.7586206,-73.9810724
