Id,Label,stop name,line,borough,complex id,constituent station name,station id,gtfs stop id,daytime routes,entrance latitude,entrance longitude,Degree,Weighted Degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
46,Inwood-207 St,Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,40.867835,-73.921445,1,2,15,53,0.035205,0.04678,0,0,0,4,28,0,0,0.010858
47,Dyckman St,Dyckman St,8th Av - Fulton St,M,144,Dyckman St,144,A03,A,40.865367,-73.928077,2,3,15,52,0.036486,0.051289,389,0,0,4,28,0,0,0.019347
48,190 St,190 St,8th Av - Fulton St,M,145,190 St,145,A05,A,40.858902,-73.934222,2,2,15,51,0.037857,0.054901,776,0,0,4,28,0,0,0.024382
49,181 St,181 St,8th Av - Fulton St,M,146,181 St,146,A06,A,40.850885,-73.938534,2,2,15,50,0.039326,0.05868,1161,0,0,4,28,0,0,0.029246
50,175 St,175 St,8th Av - Fulton St,M,147,175 St,147,A07,A,40.846379,-73.940296,2,2,15,49,0.040906,0.063324,1544,0,0,4,28,0,0,0.040792
52,163 St-Amsterdam Av,163 St-Amsterdam Av,8th Av - Fulton St,M,149,163 St-Amsterdam Av,149,A10,C,40.835192,-73.940146,2,2,15,47,0.043575,0.06821,5415.608166,0,0,4,28,0,0,0.052487
53,155 St,155 St,8th Av - Fulton St,M,150,155 St,150,A11,C,40.830875,-73.941653,2,2,15,46,0.044597,0.069249,5622.600368,0,0,4,28,0,0,0.082398
54,135 St,135 St,8th Av - Fulton St,M,152,135 St,152,A14,C B,40.817137,-73.948229,4,4,15,44,0.046712,0.06967,8022.495196,0,0,12,4,0,0,0.266149
55,125 St,125 St,8th Av - Fulton St,M,153,125 St,153,A15,A C B D,40.810653,-73.952884,4,4,15,43,0.047806,0.068522,8275.823748,0,0,12,4,0,0,0.276808
56,116 St,116 St,8th Av - Fulton St,M,154,116 St,154,A16,C B,40.80433,-73.955638,4,4,15,42,0.049739,0.069265,8592.056693,0,0,12,4,0,0,0.277506
57,Cathedral Pkwy (110 St),Cathedral Pkwy (110 St),8th Av - Fulton St,M,155,Cathedral Pkwy (110 St),155,A17,C B,40.800014,-73.958885,4,4,15,41,0.051834,0.070853,8909.612248,0,0,12,4,0,0,0.276042
58,103 St,103 St,8th Av - Fulton St,M,156,103 St,156,A18,C B,40.796298,-73.961671,4,4,15,40,0.054114,0.073164,9226.612248,0,0,12,4,0,0,0.273591
59,96 St,96 St,8th Av - Fulton St,M,157,96 St,157,A19,C B,40.791638,-73.96494,4,4,15,39,0.056604,0.076225,9543.056693,0,0,12,4,0,0,0.267683
60,86 St,86 St,8th Av - Fulton St,M,158,86 St,158,A20,C B,40.785297,-73.969672,4,4,15,38,0.059334,0.080185,9859.198107,0,0,12,4,0,0,0.252941
61,81 St-Museum of Natural History,81 St-Museum of Natural History,8th Av - Fulton St,M,159,81 St-Museum of Natural History,159,A21,C B,40.780345,-73.973189,4,4,15,37,0.06234,0.085377,10175.236162,0,0,12,4,0,0,0.221374
62,72 St,72 St,8th Av - Fulton St,M,160,72 St,160,A22,C B,40.774949,-73.977182,3,3,15,36,0.065668,0.092582,10491.245863,0.000001,0.000001,12,4,0,0,0.164449
64,50 St,50 St,8th Av - Fulton St,M,162,50 St,162,A25,C E,40.761761,-73.986979,2,2,15,34,0.07078,0.10404,8060.302273,0.000003,0.000003,9,5,0,0,0.102332
66,34 St-Penn Station,34 St-Penn Station,8th Av - Fulton St,M,164,34 St-Penn Station,164,A28,A C E,40.75175,-73.994275,2,2,15,32,0.073432,0.107802,15210.638384,0.000028,0.000029,9,5,0,0,0.076687
67,23 St,23 St,8th Av - Fulton St,M,165,23 St,165,A30,C E,40.745265,-73.998754,2,2,15,32,0.07371,0.10771,15234.138384,0.000118,0.000116,9,5,0,0,0.067546
69,Spring St,Spring St,8th Av - Fulton St,M,168,Spring St,168,A33,C E,40.725631,-74.004377,2,2,15,35,0.070081,0.103507,389,0.00034,0.000349,9,5,0,0,0.066406
70,Canal St,Canal St,8th Av - Fulton St,M,169,Canal St,169,A34,A C E,40.721656,-74.005665,1,1,15,36,0.065502,0.089812,0,0.000076,0.000074,9,5,0,0,0.021094
73,High St,High St,8th Av - Fulton St,B,173,High St,173,A40,A C,40.699405,-73.991413,1,1,15,40,0.059871,0.083238,0,0.006485,0.00678,14,5,0,0,0.042031
74,Jay St-MetroTech,Jay St-MetroTech,8th Av - Fulton St,B,636,Jay St-MetroTech,174,A41,A C F R,40.692474,-73.987586,4,4,15,39,0.063673,0.097015,2748.778083,0.031149,0.029794,14,5,0.166667,1,0.142581
75,Hoyt-Schermerhorn Sts,Hoyt-Schermerhorn Sts,8th Av - Fulton St,B,175,Hoyt-Schermerhorn Sts,175,A42,A C G,40.689031,-73.985859,4,4,15,40,0.062072,0.094924,5473.519604,0.031203,0.029843,14,5,0.166667,1,0.146099
76,Lafayette Av,Lafayette Av,8th Av - Fulton St,B,176,Lafayette Av,176,A43,C,40.686553,-73.974606,2,2,15,41,0.05928,0.085654,4194.886364,0.006836,0.007148,10,5,0,0,0.057393
77,Clinton-Washington Avs,Clinton-Washington Avs,8th Av - Fulton St,B,177,Clinton-Washington Avs,177,A44,C,40.683675,-73.96706,2,2,15,42,0.056744,0.080031,3900.886364,0.001638,0.001566,10,5,0,0,0.032779
79,Nostrand Av,Nostrand Av,8th Av - Fulton St,B,179,Nostrand Av,179,A46,A C,40.680577,-73.949735,2,2,15,44,0.052314,0.073127,3318.886364,0.000086,0.000082,10,5,0,0,0.025592
80,Kingston-Throop Avs,Kingston-Throop Avs,8th Av - Fulton St,B,180,Kingston-Throop Avs,180,A47,C,40.679685,-73.94135,2,2,15,45,0.050368,0.071075,3030.886364,0.000019,0.00002,10,5,0,0,0.025611
81,Utica Av,Utica Av,8th Av - Fulton St,B,181,Utica Av,181,A48,A C,40.679558,-73.932104,2,2,15,46,0.048574,0.069852,2762.136364,0.000005,0.000004,10,5,0,0,0.026805
82,Ralph Av,Ralph Av,8th Av - Fulton St,B,182,Ralph Av,182,A49,C,40.679164,-73.92187,2,2,15,47,0.047596,0.070156,2580.219697,0.000001,0.000001,10,5,0,0,0.032076
83,Rockaway Av,Rockaway Av,8th Av - Fulton St,B,183,Rockaway Av,183,A50,C,40.678609,-73.91374,2,2,15,47,0.04787,0.073114,2626.083333,0,0,10,5,0,0,0.049681
84,Broadway Junction,Broadway Junction,8th Av - Fulton St,B,621,Broadway Junction,184,A51,A C J Z L,40.678353,-73.903933,5,5,15,46,0.049267,0.081227,12399.030303,0,0,10,5,0,0,0.0958
85,Liberty Av,Liberty Av,8th Av - Fulton St,B,185,Liberty Av,185,A52,C,40.67445,-73.896778,2,2,15,47,0.047233,0.07245,8784,0,0,10,5,0,0,0.049681
86,Van Siclen Av,Van Siclen Av,8th Av - Fulton St,B,186,Van Siclen Av,186,A53,C,40.672785,-73.890591,2,2,15,48,0.045349,0.067686,8441,0,0,10,5,0,0,0.032079
87,Shepherd Av,Shepherd Av,8th Av - Fulton St,B,187,Shepherd Av,187,A54,C,40.674244,-73.880929,2,2,15,49,0.0436,0.064367,8096,0,0,10,5,0,0,0.026828
88,Euclid Av,Euclid Av,8th Av - Fulton St,B,188,Euclid Av,188,A55,A C,40.675284,-73.872114,2,2,15,50,0.041972,0.061867,7749,0,0,10,5,0,0,0.025764
89,W 4 St-Wash Sq,W 4 St-Wash Sq,8th Av - Fulton St; 6th Av - Culver,M,167,W 4 St-Wash Sq,167,A32; D20,A C E B D F M,40.731097,-74.001599,4,4,15,34,0.075319,0.122626,22866.920826,0.001529,0.001487,9,5,0.166667,1,0.204259
90,145 St,145 St,8th Av - Fulton St; Concourse,M,151,145 St,151,A12; D13,A C B D,40.82393,-73.945024,5,5,15,45,0.045678,0.074078,8741.053585,0,0,12,4,0,0,0.228987
91,Astoria-Ditmars Blvd,Astoria-Ditmars Blvd,Astoria,Q,1,Astoria-Ditmars Blvd,1,R01,N W,40.774937,-73.912345,1,1,30,40,0.048989,0.06119,0,0,0,44,5,0,0,0.010837
92,Astoria Blvd,Astoria Blvd,Astoria,Q,2,Astoria Blvd,2,R03,N W,40.770331,-73.917973,2,2,31,39,0.051506,0.067219,389,0,0,44,5,0,0,0.019204
93,30 Av,30 Av,Astoria,Q,3,30 Av,3,R04,N W,40.766787,-73.921629,2,2,32,38,0.05428,0.072618,776,0,0,44,5,0,0,0.023619
94,Broadway,Broadway,Astoria,Q,4,Broadway,4,R05,N W,40.761893,-73.925617,2,2,33,37,0.057353,0.078491,1161,0,0,44,5,0,0,0.026099
95,36 Av,36 Av,Astoria,Q,5,36 Av,5,R06,N W,40.756508,-73.929978,2,2,34,36,0.060776,0.085488,1544,0,0,44,5,0,0,0.031191
96,39 Av-Dutch Kills,39 Av-Dutch Kills,Astoria,Q,6,39 Av-Dutch Kills,6,R08,N W,40.752516,-73.932926,2,2,35,35,0.064612,0.094596,1925,0,0,44,5,0,0,0.048906
98,5 Av/59 St,5 Av/59 St,Astoria,M,8,5 Av/59 St,8,R13,N R W,40.765197,-73.974715,2,2,36,35,0.067909,0.100269,2455.85,0.000001,0.000001,44,5,0,0,0.056855
100,City Hall,City Hall,Broadway,M,20,City Hall,20,R24,R W,40.713124,-74.007041,2,2,37,38,0.066035,0.103534,984.552568,0.003764,0.003986,11,5,0,0,0.092593
102,Rector St,Rector St,Broadway,M,22,Rector St,22,R26,R W,40.706343,-74.014018,2,2,38,40,0.059533,0.090699,15.466667,0.002305,0.002308,11,5,0,0,0.073853
492,14 St/6 Av,14 St/6 Av,6th Av - Culver,M,601,14 St,229,D19,1 2 3 L F M,40.73742,-73.997197,6,6,15,34,0.07477,0.125926,9606.255169,0.000714,0.000716,9,5,0.066667,1,0.248997
106,Van Cortlandt Park-242 St,Van Cortlandt Park-242 St,Broadway - 7Av,Bx,293,Van Cortlandt Park-242 St,293,101,1,40.889783,-73.898432,1,1,15,57,0.030997,0.040556,0,0,0,4,28,0,0,0.010834
107,238 St,238 St,Broadway - 7Av,Bx,294,238 St,294,103,1,40.884813,-73.900923,2,2,15,56,0.031986,0.044247,389,0,0,4,28,0,0,0.019175
108,231 St,231 St,Broadway - 7Av,Bx,295,231 St,295,104,1,40.878775,-73.905024,2,2,15,55,0.033034,0.046782,776,0,0,4,28,0,0,0.023413
109,Marble Hill-225 St,Marble Hill-225 St,Broadway - 7Av,M,296,Marble Hill-225 St,296,106,1,40.874466,-73.910563,2,2,15,54,0.034148,0.049046,1161,0,0,4,28,0,0,0.024876
110,215 St,215 St,Broadway - 7Av,M,297,215 St,297,107,1,40.869428,-73.915454,2,2,15,53,0.035332,0.051295,1544,0,0,4,28,0,0,0.025262
111,207 St,207 St,Broadway - 7Av,M,298,207 St,298,108,1,40.864282,-73.919229,2,2,15,52,0.036596,0.053679,1925,0,0,4,28,0,0,0.025478
112,Dyckman St,Dyckman St,Broadway - 7Av,M,299,Dyckman St,299,109,1,40.861139,-73.925132,2,2,15,51,0.037945,0.056349,2304,0,0,4,28,0,0,0.026286
113,191 St,191 St,Broadway - 7Av,M,300,191 St,300,110,1,40.856413,-73.932605,2,2,15,50,0.03939,0.059532,2681,0,0,4,28,0,0,0.02969
114,181 St,181 St,Broadway - 7Av,M,301,181 St,301,111,1,40.849105,-73.933752,2,2,15,49,0.040941,0.063723,3056,0,0,4,28,0,0,0.040871
496,Court Sq-23 St,Court Sq-23 St,Crosstown,Q,606,Court Sq,281,G22,7 E M G,40.746262,-73.944859,5,5,15,32,0.069235,0.112095,15716.705556,0.000001,0.000001,9,5,0,0,0.131889
116,157 St,157 St,Broadway - 7Av,M,303,157 St,303,113,1,40.834285,-73.94519,2,2,15,47,0.044138,0.067256,2216.754137,0,0,4,28,0,0,0.040871
117,145 St,145 St,Broadway - 7Av,M,304,145 St,304,114,1,40.82667,-73.950523,2,2,15,46,0.04578,0.066696,2532.763838,0,0,4,28,0,0,0.029692
118,137 St-City College,137 St-City College,Broadway - 7Av,M,305,137 St-City College,305,115,1,40.821361,-73.954414,2,2,15,45,0.047549,0.067316,2848.801893,0,0,4,28,0,0,0.026299
119,125 St,125 St,Broadway - 7Av,M,306,125 St,306,116,1,40.815334,-73.958826,2,2,15,44,0.049461,0.068715,3164.943307,0,0,4,28,0,0,0.025573
120,116 St-Columbia University,116 St-Columbia University,Broadway - 7Av,M,307,116 St-Columbia University,307,117,1,40.807556,-73.964013,2,2,15,43,0.051533,0.070794,3481.387752,0,0,4,28,0,0,0.025812
121,Cathedral Pkwy (110 St),Cathedral Pkwy (110 St),Broadway - 7Av,M,308,Cathedral Pkwy (110 St),308,118,1,40.804406,-73.966777,2,2,15,42,0.053786,0.073607,3798.387752,0,0,4,28,0,0,0.027396
122,103 St,103 St,Broadway - 7Av,M,309,103 St,309,119,1,40.799294,-73.968683,2,2,15,41,0.056245,0.077403,4115.943307,0,0,4,28,0,0,0.03242
123,96 St,96 St,Broadway - 7Av,M,310,96 St,310,120,1 2 3,40.793077,-73.973179,3,3,15,40,0.058939,0.083131,11889.807254,0,0,5,28,0,0,0.044108
124,86 St,86 St,Broadway - 7Av,M,311,86 St,311,121,1,40.788379,-73.976896,2,2,15,39,0.060615,0.082604,9696.581282,0,0,5,28,0,0,0.032712
125,79 St,79 St,Broadway - 7Av,M,312,79 St,312,122,1,40.783762,-73.980291,2,2,15,38,0.06241,0.084325,9892.552088,0,0,5,28,0,0,0.029167
126,72 St,72 St,Broadway - 7Av,M,313,72 St,313,123,1 2 3,40.778447,-73.981953,2,2,15,37,0.064548,0.087955,10100.528696,0,0,5,28,0,0,0.03456
127,66 St-Lincoln Center,66 St-Lincoln Center,Broadway - 7Av,M,314,66 St-Lincoln Center,314,124,1,40.773589,-73.982022,2,2,15,36,0.066861,0.093817,10310.524798,0,0,5,28,0,0,0.061546
505,62 St/New Utrecht Av,62 St/New Utrecht Av,Sea Beach,B,615,New Utrecht Av,73,N04,D N,40.625606,-73.99683,4,4,39,48,0.044123,0.072179,5214.564012,0.000081,0.000078,8,5,0,0,0.067785
129,50 St,50 St,Broadway - 7Av,M,316,50 St,316,126,1,40.761524,-73.984451,2,2,15,34,0.07078,0.10404,8060.302273,0.000003,0.000003,9,5,0,0,0.102332
131,34 St-Penn Station,34 St-Penn Station,Broadway - 7Av,M,318,34 St-Penn Station,318,128,1 2 3,40.749888,-73.991811,2,2,15,34,0.068674,0.100287,446.5,0.000005,0.000005,9,5,0,0,0.070612
132,28 St,28 St,Broadway - 7Av,M,319,28 St,319,129,1,40.746787,-73.993955,2,2,15,33,0.068868,0.09724,372.45,0.000009,0.000009,9,5,0,0,0.039308
133,23 St,23 St,Broadway - 7Av,M,320,23 St,320,130,1,40.744006,-73.995914,2,2,15,33,0.069247,0.098819,403.45,0.000038,0.000038,9,5,0,0,0.04209
134,18 St,18 St,Broadway - 7Av,M,321,18 St,321,131,1,40.741075,-73.998093,2,2,15,34,0.070716,0.106741,525.95,0.000164,0.000164,9,5,0,0,0.087117
136,Christopher St-Stonewall,Christopher St-Stonewall,Broadway - 7Av,M,323,Christopher St-Stonewall,323,133,1,40.733509,-74.003182,2,2,15,35,0.069817,0.106386,1341.568301,0.000166,0.000165,11,5,0,0,0.086849
137,Houston St,Houston St,Broadway - 7Av,M,324,Houston St,324,134,1,40.727826,-74.005649,2,2,15,36,0.065568,0.095579,980.234967,0.000044,0.000044,11,5,0,0,0.040481
138,Canal St,Canal St,Broadway - 7Av,M,325,Canal St,325,135,1,40.722962,-74.00663,2,2,15,37,0.062751,0.089959,713.790523,0.000039,0.000039,11,5,0,0,0.031504
139,Franklin St,Franklin St,Broadway - 7Av,M,326,Franklin St,326,136,1,40.718949,-74.007125,2,2,15,38,0.061042,0.088419,570.483333,0.000136,0.000134,11,5,0,0,0.03915
140,Chambers St,Chambers St,Broadway - 7Av,M,327,Chambers St,327,137,1 2 3,40.715553,-74.009494,3,3,15,39,0.060597,0.092076,556.833007,0.000575,0.000585,11,5,0,0,0.06996
141,WTC Cortlandt,WTC Cortlandt,Broadway - 7Av,M,328,WTC Cortlandt,328,138,1,40.711084,-74.012473,2,2,15,40,0.05801,0.084714,46.25,0.000562,0.000561,11,5,0,0,0.043934
142,Rector St,Rector St,Broadway - 7Av,M,329,Rector St,329,139,1,40.706493,-74.014319,2,2,15,40,0.058488,0.086902,142.426471,0.002004,0.001997,11,5,0,0,0.053519
144,57 St-7 Av,57 St-7 Av,Broadway - Brighton,M,9,57 St-7 Av,9,R14,N Q R W,40.764278,-73.981287,3,3,41,34,0.068759,0.101499,3538.516667,0.000003,0.000003,44,5,0,0,0.056743
145,49 St,49 St,Broadway - Brighton,M,10,49 St,10,R15,N R W,40.759483,-73.984847,2,2,42,33,0.070614,0.104513,3188.016667,0.000012,0.000012,44,5,0,0,0.061185
498,4 Av-9 St,4 Av-9 St,4th Av,B,608,4 Av-9 St,29,R33,F G R,40.670538,-73.988778,8,8,43,40,0.063209,0.102253,17156.855392,0.613618,0.567175,14,5,0,0,1
150,28 St,28 St,Broadway - Brighton,M,13,28 St,13,R18,R W,40.745509,-73.989051,2,2,44,33,0.071836,0.107025,459.745455,0.00005,0.000051,9,5,0,0,0.06555
151,23 St,23 St,Broadway - Brighton,M,14,23 St,14,R19,R W,40.741247,-73.989675,2,2,45,34,0.072155,0.109785,477.912121,0.000182,0.000176,9,5,0,0,0.084099
152,8 St-NYU,8 St-NYU,Broadway - Brighton,M,16,8 St-NYU,16,R21,R W,40.729778,-73.993262,2,2,46,36,0.071298,0.110916,4193.167904,0.000991,0.000937,9,5,0,0,0.087658
153,Prince St,Prince St,Broadway - Brighton,M,17,Prince St,17,R22,R W,40.724261,-73.997936,2,2,47,37,0.069867,0.109089,4082.667904,0.003544,0.003769,9,5,0,0,0.082246
154,DeKalb Av,DeKalb Av,Broadway - Brighton,B,26,DeKalb Av,26,R30,B Q R,40.691263,-73.98238,5,5,15,37,0.070207,0.122071,26040.652131,0.054838,0.058481,11,5,0,0,0.308211
156,7 Av,7 Av,Broadway - Brighton,B,41,7 Av,41,D25,B Q,40.677365,-73.972788,2,2,15,38,0.065923,0.103485,5264,0.013399,0.012563,11,5,0,0,0.09421
157,Prospect Park,Prospect Park,Broadway - Brighton,B,42,Prospect Park,42,D26,B Q S,40.662316,-73.962211,2,2,15,39,0.062112,0.092471,4901,0.002878,0.00307,11,5,0,0,0.040195
158,Parkside Av,Parkside Av,Broadway - Brighton,B,43,Parkside Av,43,D27,Q,40.654251,-73.961909,2,2,15,40,0.0587,0.084635,4536,0.000703,0.000659,6,5,0,0,0.028064
159,Church Av,Church Av,Broadway - Brighton,B,44,Church Av,44,D28,B Q,40.649458,-73.963357,2,2,15,41,0.055627,0.078584,4169,0.000151,0.000161,6,5,0,0,0.025746
160,Beverley Rd,Beverley Rd,Broadway - Brighton,B,45,Beverley Rd,45,D29,Q,40.644272,-73.964528,2,2,15,42,0.052846,0.073674,3800,0.000037,0.000035,6,5,0,0,0.025374
161,Cortelyou Rd,Cortelyou Rd,Broadway - Brighton,B,46,Cortelyou Rd,46,D30,Q,40.641314,-73.963996,2,2,15,43,0.050316,0.069553,3429,0.000008,0.000008,6,5,0,0,0.025324
162,Newkirk Plaza,Newkirk Plaza,Broadway - Brighton,B,47,Newkirk Plaza,47,D31,B Q,40.63505,-73.962739,2,2,15,44,0.048006,0.066001,3056,0.000002,0.000002,6,5,0,0,0.025319
163,Avenue H,Avenue H,Broadway - Brighton,B,48,Avenue H,48,D32,Q,40.62989,-73.961825,2,2,15,45,0.045888,0.062871,2681,0,0,6,5,0,0,0.025318
164,Avenue J,Avenue J,Broadway - Brighton,B,49,Avenue J,49,D33,Q,40.625347,-73.961007,2,2,15,46,0.043939,0.060056,2304,0,0,6,5,0,0,0.025317
165,Avenue M,Avenue M,Broadway - Brighton,B,50,Avenue M,50,D34,Q,40.618153,-73.959463,2,2,15,47,0.042139,0.057472,1925,0,0,6,5,0,0,0.025306
